,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,성별,출생년도,혼인상테,종교,월급,직종,지역,나이,연령별,연령대
14374,14374,14374,14374,14374,여성,1951.0,2.0,2.0,27.0,941.0,4.0,71.0,노년,70대
14375,14375,14375,14375,14375,여성,1948.0,2.0,1.0,,,4.0,74.0,노년,70대
14376,14376,14376,14376,14376,여성,1964.0,2.0,1.0,198.0,941.0,4.0,58.0,중년,50대
14377,14377,14377,14377,14377,남성,1944.0,2.0,2.0,,,4.0,78.0,노년,70대
14378,14378,14378,14378,14378,여성,1967.0,3.0,2.0,,,4.0,55.0,중년,50대
14379,14379,14379,14379,14379,여성,1957.0,3.0,1.0,,,4.0,65.0,노년,60대
14380,14380,14380,14380,14380,여성,1939.0,2.0,1.0,,,4.0,83.0,노년,80대
14381,14381,14381,14381,14381,여성,1936.0,2.0,2.0,,,4.0,86.0,노년,80대
14382,14382,14382,14382,14382,여성,1945.0,1.0,1.0,,,4.0,77.0,노년,70대
14383,14383,14383,14383,14383,남성,1940.0,1.0,1.0,,,4.0,82.0,노년,80대
14384,14384,14384,14384,14384,남성,1983.0,1.0,2.0,,,4.0,39.0,중년,30대
14385,14385,14385,14385,14385,여성,1988.0,1.0,2.0,,442.0,4.0,34.0,중년,30대
14386,14386,14386,14386,14386,남성,2017.0,0.0,2.0,,,4.0,5.0,청년,NaN
14387,14387,14387,14387,14387,남성,1973.0,1.0,2.0,500.0,411.0,4.0,49.0,중년,40대
14388,14388,14388,14388,14388,여성,1976.0,1.0,2.0,98.0,421.0,4.0,46.0,중년,40대
14389,14389,14389,14389,14389,여성,2009.0,0.0,2.0,,,4.0,13.0,청년,NaN
14390,14390,14390,14390,14390,남성,2014.0,0.0,2.0,,,4.0,8.0,청년,NaN
14391,14391,14391,14391,14391,여성,1952.0,2.0,2.0,,,4.0,70.0,노년,70대
14392,14392,14392,14392,14392,여성,1970.0,5.0,2.0,108.0,521.0,4.0,52.0,중년,50대
14393,14393,14393,14393,14393,여성,1950.0,2.0,1.0,,,4.0,72.0,노년,70대
14394,14394,14394,14394,14394,여성,1942.0,2.0,1.0,,,4.0,80.0,노년,80대
14395,14395,14395,14395,14395,여성,1953.0,4.0,1.0,120.0,941.0,4.0,69.0,노년,60대
14396,14396,14396,14396,14396,여성,1943.0,2.0,1.0,,,4.0,79.0,노년,70대
14397,14397,14397,14397,14397,남성,1972.0,3.0,1.0,427.0,149.0,4.0,50.0,중년,50대
14398,14398,14398,14398,14398,남성,2004.0,0.0,1.0,,,4.0,18.0,청년,NaN
14399,14399,14399,14399,14399,여성,1971.0,5.0,1.0,,,4.0,51.0,중년,50대
14400,14400,14400,14400,14400,남성,1950.0,1.0,1.0,,,4.0,72.0,노년,70대
14401,14401,14401,14401,14401,여성,1957.0,1.0,1.0,100.0,941.0,4.0,65.0,노년,60대
14402,14402,14402,14402,14402,남성,1978.0,5.0,2.0,,,4.0,44.0,중년,40대
14403,14403,14403,14403,14403,남성,1981.0,5.0,2.0,,,4.0,41.0,중년,40대
14404,14404,14404,14404,14404,여성,1965.0,3.0,2.0,236.0,442.0,4.0,57.0,중년,50대
14405,14405,14405,14405,14405,여성,1941.0,2.0,2.0,,,4.0,81.0,노년,80대
14406,14406,14406,14406,14406,남성,1941.0,1.0,2.0,,,4.0,81.0,노년,80대
14407,14407,14407,14407,14407,여성,1941.0,1.0,2.0,,,4.0,81.0,노년,80대
14408,14408,14408,14408,14408,여성,1963.0,2.0,2.0,173.0,521.0,4.0,59.0,중년,50대
14409,14409,14409,14409,14409,남성,1957.0,1.0,1.0,232.0,141.0,4.0,65.0,노년,60대
